Variável,Valor
"Oc[9,0]",0.0
"Oc[9,1]",0.0
"Oc[9,2]",0.0
"Oc[9,3]",0.0
"Oc[9,4]",0.0
"Oc[9,5]",0.0
"Oc[9,6]",0.0
"Oc[9,7]",0.0
"Oc[9,8]",0.0
"Oc[9,9]",0.0
"Ow[0,0]",0.0
"Ow[0,1]",0.0
"Ow[0,2]",0.0
"Ow[0,3]",0.0
"Ow[0,4]",0.0
"Ow[0,5]",0.0
"Ow[0,6]",0.0
"Ow[0,7]",0.0
"Ow[0,8]",0.0
"Ow[0,9]",0.0
"Ow[1,0]",0.0
"Ow[1,1]",0.0
"Ow[1,2]",0.0
"Ow[1,3]",0.0
"Ow[1,4]",0.0
"Ow[1,5]",0.0
"Ow[1,6]",0.0
"Ow[1,7]",0.0
"Ow[1,8]",0.0
"Ow[1,9]",0.0
"Ow[2,0]",0.0
"Ow[2,1]",0.0
"Ow[2,2]",0.0
"Ow[2,3]",0.0
"Ow[2,4]",0.0
"Ow[2,5]",0.0
"Ow[2,6]",0.0
"Ow[2,7]",0.0
"Ow[2,8]",0.0
"Ow[2,9]",0.0
"Ow[3,0]",0.0
"Ow[3,1]",0.0
"Ow[3,2]",0.0
"Ow[3,3]",0.0
"Ow[3,4]",0.0
"Ow[3,5]",0.0
"Ow[3,6]",0.0
"Ow[3,7]",0.0
"Ow[3,8]",0.0
"Ow[3,9]",0.0
"Ow[4,0]",0.0
"Ow[4,1]",0.0
"Ow[4,2]",0.0
"Ow[4,3]",0.0
"Ow[4,4]",0.0
"Ow[4,5]",0.0
"Ow[4,6]",0.0
"Ow[4,7]",0.0
"Ow[4,8]",0.0
"Ow[4,9]",0.0
"Ow[5,0]",0.0
"Ow[5,1]",0.0
"Ow[5,2]",0.0
"Ow[5,3]",0.0
"Ow[5,4]",0.0
"Ow[5,5]",0.0
"Ow[5,6]",0.0
"Ow[5,7]",0.0
"Ow[5,8]",0.0
"Ow[5,9]",0.0
"Ow[6,0]",0.0
"Ow[6,1]",0.0
"Ow[6,2]",0.0
"Ow[6,3]",0.0
"Ow[6,4]",0.0
"Ow[6,5]",0.0
"Ow[6,6]",0.0
"Ow[6,7]",0.0
"Ow[6,8]",0.0
"Ow[6,9]",0.0
"Ow[7,0]",0.0
"Ow[7,1]",0.0
"Ow[7,2]",0.0
"Ow[7,3]",0.0
"Ow[7,4]",0.0
"Ow[7,5]",0.0
"Ow[7,6]",0.0
"Ow[7,7]",0.0
"Ow[7,8]",0.0
"Ow[7,9]",0.0
"Ow[8,0]",0.0
"Ow[8,1]",0.0
"Ow[8,2]",0.0
"Ow[8,3]",0.0
"Ow[8,4]",0.0
"Ow[8,5]",0.0
"Ow[8,6]",0.0
"Ow[8,7]",0.0
"Ow[8,8]",0.0
"Ow[8,9]",0.0
"Ow[9,0]",0.0
"Ow[9,1]",0.0
"Ow[9,2]",0.0
"Ow[9,3]",0.0
"Ow[9,4]",0.0
"Ow[9,5]",0.0
"Ow[9,6]",0.0
"Ow[9,7]",0.0
"Ow[9,8]",0.0
"Ow[9,9]",0.0
"L[0,0]",0.0
"L[0,1]",0.0
"L[0,2]",0.0
"L[0,3]",0.0
"L[0,4]",0.0
"L[0,5]",0.0
"L[0,6]",0.0
"L[0,7]",0.0
"L[0,8]",0.0
"L[0,9]",0.0
"L[1,0]",0.0
"L[1,1]",0.0
"L[1,2]",0.0
"L[1,3]",0.0
"L[1,4]",0.0
"L[1,5]",0.0
"L[1,6]",0.0
"L[1,7]",0.0
"L[1,8]",0.0
"L[1,9]",0.0
"L[2,0]",0.0
"L[2,1]",0.0
"L[2,2]",0.0
"L[2,3]",0.0
"L[2,4]",0.0
"L[2,5]",0.0
"L[2,6]",0.0
"L[2,7]",0.0
"L[2,8]",0.0
"L[2,9]",0.0
"L[3,0]",72.90279528862959
"L[3,1]",59.48624773009969
"L[3,2]",32.331309021645325
"L[3,3]",57.093761092798665
"L[3,4]",62.102875975177184
"L[3,5]",66.78893856812836
"L[3,6]",25.280176333815334
"L[3,7]",60.47549386831601
"L[3,8]",20.88893118351439
"L[3,9]",46.5345778542563
"L[4,0]",0.0
"L[4,1]",0.0
"L[4,2]",0.0
"L[4,3]",0.0
"L[4,4]",0.0
"L[4,5]",0.0
"L[4,6]",0.0
"L[4,7]",0.0
"L[4,8]",0.0
"L[4,9]",0.0
"L[5,0]",0.0
"L[5,1]",0.0
"L[5,2]",0.0
"L[5,3]",0.0
"L[5,4]",0.0
"L[5,5]",0.0
"L[5,6]",0.0
"L[5,7]",0.0
"L[5,8]",0.0
"L[5,9]",0.0
"L[6,0]",0.0
"L[6,1]",0.0
"L[6,2]",0.0
"L[6,3]",0.0
"L[6,4]",0.0
"L[6,5]",0.0
"L[6,6]",0.0
"L[6,7]",0.0
"L[6,8]",0.0
